Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
cargador-de-bateria-titan;Cargador de Batería Titan;Cargadores > De marcadora;;;;;;;127500.00;;;;;;6;RR0108;;SI;NO;<p>Cargador de baterías <strong>Titan</strong> para baterías de airsoft. Carga rápida y uniforme con protección inteligente contra sobrecarga, cortocircuito y sobrecalentamiento. Indicadores LED.</p><ul><li>Compatible: baterías de airsoft (LiPo/NiMH)</li><li>Protecciones: sobrecarga, cortocircuito, temperatura</li><li>Indicadores: LED</li></ul>;Cargadores;;;;SI;;;;
cargador-glock-17;Cargador Glock 17;Cargadores > De marcadora;;;;;;;66000.00;;;;;;10;RR0047;;SI;NO;<p>Cargador de repuesto WE para <strong>Glock 17</strong> GBB. Construcción metálica, capacidad 22 BBs.</p><ul><li>Marca: WE</li><li>Compatibilidad: G17</li><li>Capacidad: 22 BBs</li><li>Calibre: 6 mm BB</li><li>Material: metal</li></ul>;Glock,Cargadores;;;;SI;;;;
camara-go-pro-hero-13-black;Camara Go Pro Hero 13 Black;Cámaras;;;;;;;420.00;;;;;;0;RR0066;;SI;NO;<p>Cámara de acción <strong>GoPro Hero 13 Black</strong>. Grabación en 5.3K, fotos de 27 MP. Resistente al agua hasta 10 m. Montaje compatible con accesorios tácticos para airsoft.</p><ul><li>Video: 5.3K</li><li>Foto: 27 MP</li><li>Impermeabilidad: hasta 10 m</li></ul>;Go Pro,Cámaras;;;GO PRO;SI;;;;
camara-de-alcance-runcam-2-4k;Cámara de Alcance Runcam 2 – 4K;Cámaras;;;;;;;400500.00;;;;;;10;RR0040;;SI;NO;<p>Cámara de alcance <strong>RunCam 2 4K</strong>. Montaje en riel Picatinny estándar para grabar cada disparo. Batería integrada con 240 min a 1080P/60fps o 160 min a 2.7K/60fps.</p><ul><li>Resolución: 4K / 2.7K / 1080P</li><li>Autonomía: 240 min (1080P) / 160 min (2.7K)</li><li>Montaje: riel Picatinny</li><li>App: WiFi RunCam</li></ul>;Runcam,Cámaras;;;NOVRITSH;SI;;;;
bolso-rifle-85-tan;Bolso Rifle 85 Tan;Estuches y bolsos;;;;;;;57000.00;;;;;;0;RR0033;;SI;NO;<p>Bolso para marcadora de 85 cm en color tan. Dos compartimentos con cierre, relleno de esponja y correas de velcro internas. Correas de seguridad externas con hebillas. Bolsillo trasero con ventana transparente.</p><ul><li>Longitud: 85 cm</li><li>Color: tan</li><li>Compartimentos: 2 (con cierre y esponja)</li><li>Bolsillo trasero: con ventana transparente</li></ul>;Estuches y bolsos;;;;SI;;;;
bolsa-de-descarte-idogear;Bolsa de Descarte IDOgear;Equipamiento táctico > Pouches;;;;;;;37000.00;;;;;;24;RR0125;;SI;NO;<p>Bolsa de descarte <strong>IDOgear</strong> para cargadores vacíos. Fabricada en nailon resistente con sistema MOLLE para fijación a chaleco o cinturón. Apertura amplia con cierre elástico.</p><ul><li>Marca: IDOgear</li><li>Material: nailon táctico</li><li>Sistema: MOLLE</li><li>Apertura: elástica</li></ul>;IDOgear,Equipamiento táctico;;;;SI;;;;
bengalas-negras-y-azules;Bengalas Negras y Azules;Accesorios > Bengalas;;;;;;;4500.00;;;;;;50;RR0076;;SI;NO;<p>Bengalas de señalización en colores negro y azul. Para uso en partidas de airsoft como indicadores visuales de posición o eliminación.</p><ul><li>Colores disponibles: negro y azul</li><li>Uso: señalización táctica en partidas</li></ul>;Accesorios;;;;SI;;;;
bbs-tracers-bls-1-kg-0-28;BBs Tracers BLS 1 kg 0.28;Munición y gas > BBs;;;;;;;49500.00;;;;;;38;RR0068;;SI;NO;<p>BBs trazadoras bio BLS de 0,28 g. Línea Bio Tracer, diseñadas para uso con unidades trazadoras. Paquete de 1 kg.</p><ul><li>Peso: 0,28 g</li><li>Tipo: bio tracer</li><li>Cantidad: 1 kg</li><li>Calibre: 6 mm</li></ul>;BLS,Munición y gas;;;;SI;;;;
bbs-botella-de-0-45-g;BBs, Botella de 0.45 g;Munición y gas > BBs;;;;;;;15000.00;;;;;;2;RR0049;;SI;NO;<p>BBs de precisión de 0,45 g para marcadoras de alta potencia. Calibre 6 mm, color blanco. Paquete de 500 unidades.</p><ul><li>Peso: 0,45 g</li><li>Calibre: 6 mm BB</li><li>Color: blanco</li><li>Cantidad: 500 BBs</li></ul>;Munición y gas;;;;SI;;;;
bbs-bls-20-1-kg;BBs BLS .20 1 kg;Munición y gas > BBs;;;;;;;20250.00;;;;;;20;RR0069;;SI;NO;<p>BBs BLS de 0,20 g, paquete de 1 kg. Para uso general en AEG y GBB. Calibre 6 mm estándar.</p><ul><li>Peso: 0,20 g</li><li>Cantidad: 1 kg</li><li>Calibre: 6 mm</li></ul>;BLS,Munición y gas;;;;SI;;;;
bbs-bls-0-28;BBs BLS 0.28;Munición y gas > BBs;;;;;;;23250.00;;;;;;28;RR0023;;SI;NO;<p>BBs de precisión <strong>BLS 0,28 g</strong>. Polímero sólido resistente a astillas, diámetro 5,94–5,96 mm. Bolsa resellable de 1 kg.</p><ul><li>Peso: 0,28 g</li><li>Diámetro: 5,94–5,96 mm</li><li>Cantidad: 1 kg</li><li>Material: polímero sólido</li></ul>;BLS,Munición y gas;;;BLS;SI;;;;
bbs-bls-0-25-1-kg;BBs BLS 0.25 1 kg;Munición y gas > BBs;;;;;;;22200.00;;;;;;24;RR0022;;SI;NO;<p>BBs de precisión <strong>BLS 0,25 g</strong>. Polímero sólido resistente a astillas, diámetro 5,94–5,96 mm. Línea de precisión, bolsa resellable de 1 kg.</p><ul><li>Peso: 0,25 g</li><li>Diámetro: 5,94–5,96 mm</li><li>Cantidad: 1 kg</li><li>Línea: precisión</li></ul>;BLS,Munición y gas;;;BLS;SI;;;;
bateria-11-1-v-1200-a;Batería 11.1 V 1200 a;Energía > Baterías;;;;;;;49500.00;;;;;;2;RR0053;;SI;NO;<p>Batería LiPo 11,1 V 1200 mAh para AEG. Formato compacto, alta tasa de descarga para mayor cadencia. Compatible con conectores Tamiya y Deans (según variante).</p><ul><li>Voltaje: 11,1 V</li><li>Capacidad: 1.200 mAh</li><li>Tipo: LiPo</li></ul>;Energía;;;;SI;;;;
balaclava-varios-colores;Balaclava Varios Colores;Protección > Máscaras;Color;Camuflado Verde oscuro;;;;;18000.00;;;;;;6;RR0080;;SI;NO;<p>Balaclava táctica disponible en varios colores. Cobertura completa de cabeza y cuello. Material transpirable apto para uso prolongado en campo.</p><ul><li>Cobertura: cabeza y cuello</li><li>Colores: varios disponibles</li><li>Material: transpirable</li></ul>;Protección;;;;SI;;;;
balaclava-varios-colores;;;Color;Tan;;;;;18000.00;;;;;;9;RR0080;;;;;;;;;SI;;;;
balaclava-varios-colores;;;Color;Camuflado verde;;;;;18000.00;;;;;;8;RR0080;;;;;;;;;SI;;;;
antiparras-tacticas-de-alto-rendimiento-con-sistema-de-ventilacion-anti-empanami;Antiparras Tácticas de Alto Rendimiento con Sistema de Ventilación Anti-Empañamiento (Kit de 2 Lentes);Protección > Antiparras;;;;;;;145000.00;;;;;;40;RR0126;;SI;NO;<p>Antiparras tácticas con ventilador micro-electrónico silencioso anti-empañamiento. Motor alimentado por una pila AA. Kit con 2 lentes intercambiables para distintas condiciones de luz.</p><ul><li>Anti-empañamiento: ventilador eléctrico silencioso</li><li>Alimentación: 1 pila AA</li><li>Lentes: 2 intercambiables</li><li>Protección: balística táctica</li></ul>;Protección;;;;SI;;;;
antiparras-con-ventilador-incorporado;Antiparras con Ventilador Incorporado;Protección > Antiparras;;;;;;;145000.00;;;;;;40;RR0124;;SI;NO;<p>Antiparras tácticas con ventilador incorporado para prevenir el empañamiento. Motor silencioso integrado alimentado por batería. Kit con 2 lentes intercambiables.</p><ul><li>Sistema anti-empañamiento: ventilador eléctrico</li><li>Lentes incluidos: 2</li></ul>;Protección;;;;SI;;;;
antiparra-venture-gear-loadout;Antiparra Venture Gear Loadout;Protección > Antiparras;;;;;;;96000.00;;;;;;1;RR0070;;SI;NO;<p>Antiparra <strong>Venture Gear Loadout</strong>. Marco ventilado anti-empañamiento con revestimiento H2MAX. Espuma acolchada, funda integrada y certificación balística MIL-PRF-32432.</p><ul><li>Ventilación: marco ventilado</li><li>Revestimiento: H2MAX antivaho</li><li>Certificación: MIL-PRF-32432</li><li>Incluye: funda integrada</li></ul>;Protección;;;;SI;;;;
antifog-novritsch;Antifog Novritsch;Protección > Antiparras;;;;;;;151200.00;;;;;;10;RR0041;;SI;NO;<p>Unidad antivaho <strong>Novritsch</strong> para antiparras. Motor silencioso que enfría el interior y previene el empañamiento. Carcasa reforzada resistente a impactos de hasta 2 J.</p><ul><li>Antivaho: motor silencioso</li><li>Resistencia: hasta 2 J de impacto</li><li>Fijación: velcro trasero opcional</li></ul>;Novritsch,Protección;;;;SI;;;;
5-56-pistol-triple-mag-pouch-negro-idogear;5.56 Pistol Triple Mag Pouch Negro IDOgear;Equipamiento táctico > Pouches;;;;;;;45000.00;;;;;;9;RR0094;;SI;NO;<p>Triple pouch <strong>IDOgear</strong> para pistola y 5,56 mm. Tejido 500D con revestimiento resistente al agua. Fijación rápida por botón de presión MOLLE compatible. Orificios de drenaje y cordón elástico de acceso rápido.</p><ul><li>Material: 500D con cobertura resistente al agua</li><li>Sistema: MOLLE (botón de presión)</li><li>Compatible: cargadores 5,56 mm y 9 mm</li><li>Drenaje: orificios inferiores</li></ul>;IDOgear,Equipamiento táctico;;;;SI;;;;
